session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,m8voi9hd,5,0,5,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,3.0,75.0,60.0,male,graduate,0.0,3.0
cbctgbhm,6ismerzv,15,0,15,0.0,15.1098174886843,-18.5046274258981,1,,,22.0,2.0,30.0,33.0,male,bachelor,0.0,3.0
cbctgbhm,cm2eslcn,5,0,5,0.0,15.3352032889933,8.30613918663683,0,,,25.0,4.0,5.0,28.0,female,graduate,0.0,3.0
cbctgbhm,xlcn02yj,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,12.0,3.0,70.0,43.0,male,some_college,1.0,3.0
cbctgbhm,qy7au3ob,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,10.0,5.0,100.0,31.0,male,bachelor,0.0,3.0
cbctgbhm,4vxih75y,5,3,2,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,30.0,4.0,97.0,25.0,male,bachelor,1.0,3.0
cbctgbhm,7fazstu9,10,3,7,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,3.0,3.0,40.0,27.0,male,bachelor,1.0,3.0
cbctgbhm,do45nkn8,15,3,12,0.0,15.6552619854883,-10.6145146455845,0,,,5.0,4.0,20.0,56.0,male,bachelor,0.0,3.0
cbctgbhm,g9vxajfn,10,6,4,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,20.0,3.0,94.0,35.0,female,bachelor,0.0,3.0
cbctgbhm,xjh0pder,15,6,9,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,10.0,5.0,20.0,36.0,male,graduate,1.0,3.0
cbctgbhm,zca5pn92,15,9,6,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,35.0,4.0,40.0,42.0,male,bachelor,1.0,3.0
cbctgbhm,0yob3mgk,5,0,5,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,15.0,4.0,85.0,35.0,male,graduate,1.0,3.0
cbctgbhm,ctfdvj0u,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,0.0,4.0,14.0,3.0,45.0,35.0,female,bachelor,0.0,3.0
cbctgbhm,5xvelvn3,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,10.0,4.0,15.0,34.0,male,bachelor,0.0,3.0
cbctgbhm,3uqnyywp,10,0,10,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,-10.0,4.0,0.0,48.0,male,bachelor,0.0,3.0
cbctgbhm,qqvl3tfr,15,0,15,1.0,14.5282644745692,7.35487993020429,1,0.0,4.0,17.0,2.0,20.0,24.0,male,bachelor,0.0,3.0
cbctgbhm,rfeq0n8a,5,3,2,1.0,15.3352032889933,8.30613918663683,0,1.0,2.0,15.0,2.0,40.0,24.0,male,bachelor,1.0,3.0
cbctgbhm,46052zlk,10,6,4,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,5.0,3.0,30.0,38.0,male,bachelor,0.0,2.0
