prolific
"6a19d997629becc6e70d4df3, 2.04"
"6a20ad1240d89e1a722d7ad9, 2.21"
"69b181765d8007b984a2325d, 2.35"
"6993a8f8d63073ac0203d4f5, 1.9"
"6a0b015fa2949015e9afbf61, 2.09"
"654a56ff9b8baf6c84eb9b69, 2.1"
"6a1f0669dba4d5bde1d8393e, 1.74"
"67111caa29489997ddc13d0f, 1.94"
"63cdf894c118ad4f84489c1a, 2.05"
"6a0daf62ec01cd69c04d1da8, 1.96"
"694c4917f64907c59ec1ddc5, 2.27"
"69e65ed281d0592f4133950f, 2.22"
"6a0778c99af13300366b063e, 2.0"
"6a203b8bc986a2b83c7c57dd, 1.87"
"6718fa3043e1839e51351385, 2.19"
"69a84166aed9e34fae5669e3, 2.22"
"69b72377cc9f5fa628e6dfbb, 2.16"
"6a00ec95def2f000fd898a48, 2.11"
"5d54683b3e80200018bbf5ec, 2.07"
"6a1b0d0752aac3ae3568e1d8, 2.03"
"6a1f352229023ec866b538be, 2.12"
"66c13cc0c9ba487034df285c, 2.02"
"6a0b6d0045f790bc19929a00, 2.32"
"6a0aa1fdd55cf58408ab9735, 2.2"
"67bb91a04f5f96b7ac52242d, 2.01"
"62d2bca2c9485e173382c839, 2.38"
"69c1f5423b7df4e2f7066e46, 2.28"
"5c635a08e30ff200016badb9, 2.18"
"69dfc561ed70d9a2f53d5df9, 2.34"
"69ff184eabba1ba8cff39d3a, 2.13"
"69ba4da9b6318051246d3594, 2.4"
"595d3824fe4a4700017a0777, 2.15"
"5ebaa1ff940078000b52ebf4, 1.97"
"6605b8594712ef8c392bcae7, 1.9"
"69add622261fffd15f23efb1, 1.8"
"69a197c448eae1a674cf921a, 1.95"
"69f75285469c9906f0b8af09, 2.21"
"6072f8908ca848cb61dcce5d, 1.94"
"5c4c57609446be00017e6746, 2.02"
"6a33b6f5e3d9dff938626d9d, 1.98"
"699b607e5ff32fbd2775e425, 2.0"
"69c3412c3db69fe9a89b270b, 2.04"
"6a0481d68cad0002136fcc3a, 2.16"
"68c8429b543e388858991bbc, 1.98"
"66a7ec9834078bfe12db687d, 2.15"
"6a0b2e634890878fbf46baad, 2.35"
"601fd27860b197531ca7bdcc, 2.23"
"5d7085f70a426200186bc676, 2.11"
"697fc71173c91425f3d369c3, 1.93"
"5bd2a0799afb5b00015be460, 2.12"
"69f4e0a61df7b7adb13e9847, 2.2"
"6a21f3ec20ac6ad000db057e, 2.23"
"69ad70ad170abae499d1e32f, 2.17"
"6a0497c25c04f83a27e1f07a, 2.08"
"5df5b73cd52c7b4021e0d0b6, 2.17"
"69c4026a5cde878384490796, 2.31"
"6a0dd2bb948191cc5166f584, 2.08"
"65dcfc8cb5a870c7880bd8cc, 2.05"
"6a2343549e35d0b3592b1578, 2.05"
"6a09e70ed4f900f0db78254f, 2.06"
"69f3e5f34844a66c277aefdd, 2.4"
"6a1d926968e06225e92ddb0a, 2.04"
"5e79448b2645050ebe52051c, 2.17"
"5c2d3ba4731cd10001b647d7, 2.07"
"69dd4b93f3df8cf7a8f04c62, 2.4"
"69a1ce874d4ba6506a55275b, 2.14"
"6780c4abb37bba622673bd03, 1.98"
"6a05d785f447abca311f1246, 2.23"
"69d48aa809f91dc34aa71565, 2.15"
"67eff0475e43d9a5390ff55e, 1.93"
"6073e0d481953bbd2cd61145, 2.09"
"69eb4083e374d95eb30419a5, 1.94"
"66d0e8813c0a69291c362cba, 2.18"
"66e641a57e7f41866f9e705f, 1.87"
"6a13809a55a9d81e74345a8e, 1.86"
"69f65f307f0cb39638d0000d, 1.9"
"5e6fc1d5d6d43357de8e6edc, 2.02"
"6a0c93436c009b0e6c8a3fda, 1.96"
"66e62716a40afa9a9b4d23c6, 2.11"
"65d942ce4ea2fe978c283416, 2.15"
"69bcfd38ab399b8c203e9dfe, 2.24"
"6a16bea9a29977f7fd34c31f, 2.06"
"6a15d35d97c9ae5e06f572af, 2.15"
"6a07ad9f94a1303e0ca1448b, 2.23"
"69bd43b3638c297e98b9f8df, 2.21"
"5dd3e852b988873c617cd21a, 2.37"
"69fded1b5d37ff18df17d676, 2.22"
"6a1b15e662fadd6f4bb1b02c, 2.12"
"69ff730afdb8c80dde5c8fac, 1.91"
"6a2484cbe8a1b14c5b29b94f, 2.02"
"69ecc65326b279b91101fec3, 1.9"
"69ab6514db60034d9c1ea74c, 1.98"
"6a178b91b1f36b5b71ba83d7, 1.86"
"628781515f29a0394e23b15b, 2.37"
"5f778d553167a12eae0e1c00, 2.35"
"69b1146836f8ed08a0fbc7c1, 2.37"
"6a25ecbf7bb0c8852ddbf839, 2.04"
"6a09bbd2615201736f2231f9, 1.92"
"5df967d2f6191f6e87b236e6, 2.19"
"65cba761b3d48a22dfc65d2f, 1.91"
